swissuniversities_name_parent_institution,swissuniversities_id_parent_institution,grid_name_child_institution,grid_id_child_institution,ror_id_child_institution,openalex_id_child_institution,openorgs_id_child_institution
Berner Fachhochschule BFH,BFH,Bern University of Applied Sciences,grid.424060.4,02bnkt322,I130692619,openorgs____::0000015426
"Eidgenössische Hochschule für Berufsbildung, EHB",EHB,Swiss Federal University for Vocational Education and Training,grid.466173.1,00zg4za48,I4210097053,openorgs____::0000056011
Ecole polytechnique fédérale de Lausanne EPFL,EPFL,Competence Centre for Materials Science and Technology,grid.468117.d,03bxybp61,I4210140175,openorgs____::0000057917
Ecole polytechnique fédérale de Lausanne EPFL,EPFL,Idiap Research Institute,grid.482253.a,05932h694,I7495430,openorgs____::0000071845
Ecole polytechnique fédérale de Lausanne EPFL,EPFL,Formation Continue UNIL-EPFL,grid.483376.d,016fqsx25,I4210100659,openorgs____::0000072945
Ecole polytechnique fédérale de Lausanne EPFL,EPFL,Swiss Polar Institute,grid.507541.2,02z9ca723,I4210132519,openorgs____::0000096663
Ecole polytechnique fédérale de Lausanne EPFL,EPFL,NCCR Chemical Biology - Visualisation and Control of Biological Processes Using Chemistry,grid.509972.0,033f9yy33,I4210129591,
Ecole polytechnique fédérale de Lausanne EPFL,EPFL,Swiss Data Science Center,grid.512126.3,02hdt9m26,I4210122261,
Ecole polytechnique fédérale de Lausanne EPFL,EPFL,École Polytechnique Fédérale de Lausanne,grid.5333.6,02s376052,I5124864,openorgs____::0000097652
Eidgenössische Technische Hochschule Zürich ETH,ETH,Institute for Biomedical Engineering,grid.482286.2,00baskk38,I4210090941,openorgs____::0000071878
Eidgenössische Technische Hochschule Zürich ETH,ETH,Swiss Data Science Center,grid.512126.3,02hdt9m26,I4210122261,
Eidgenössische Technische Hochschule Zürich ETH,ETH,Botnar Research Centre for Child Health,grid.513285.8,033ztm745,I4210127086,
Eidgenössische Technische Hochschule Zürich ETH,ETH,Singapore-ETH Centre,grid.514054.1,,,
Eidgenössische Technische Hochschule Zürich ETH,ETH,ETH Zurich,grid.5801.c,05a28rw58,I35440088,openorgs____::0000097748
Fachhochschule Graubünden FHGR,FHGR,University of Applied Sciences of the Grisons,grid.460104.7,032ymzc07,I4210120439,openorgs____::0000050055
Fachhochschule Nordwestschweiz FHNW,FHNW,University of Applied Sciences and Arts Northwestern Switzerland,grid.410380.e,04mq2g308,I2972652528,openorgs____::0000003136
Fachhochschule Nordwestschweiz FHNW,FHNW,Musik Akademie Basel,grid.459287.5,03bdt1p29,I2801068065,openorgs____::0000049249
"Haute école pédagogique des cantons de Berne, du Jura et de Neuchâtel HEP-BEJUNE",HEP-BEJUNE,Haute École Pédagogique BEJUNE,grid.469449.2,015pmkr43,I4210101117,openorgs____::0000059229
Haute école pédagogique du canton de Vaud HEP Vaud,HEP VAUD,Haute École Pédagogique du Canton de Vaud,grid.466224.0,01bvm0h13,I4210106586,openorgs____::0000056062
