swissuniversities_name,ID,dimensions_gui,scopus_query,wos_query,openalex_api,openaire_gui
Berner Fachhochschule BFH,BFH,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.424060.4,"AF-ID ( ""Berner Fachhochschule""   60099391 ) ",,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i130692619,https://explore.openaire.eu/search/organization?organizationId=openorgs____::f36bfc653b88dc0149c1ec41f7dac13b
"Eidgenössische Hochschule für Berufsbildung, EHB",EHB,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.466173.1,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210097053,https://explore.openaire.eu/search/organization?organizationId=openorgs____::881c5106c8e95213d6efd149633fbd76
Ecole polytechnique fédérale de Lausanne EPFL,EPFL,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.509972.0&or_facet_research_org=grid.512126.3&or_facet_research_org=grid.483376.d&or_facet_research_org=grid.468117.d&or_facet_research_org=grid.482253.a&or_facet_research_org=grid.507541.2&or_facet_research_org=grid.5333.6,"AF-ID(""&Eacute;cole Polytechnique F&eacute;d&eacute;rale de Lausanne"" 60028186) OR AF-ID(""Center for Biomedical Imaging"" 60210159) OR AF-ID(""Ceramics Laboratory"" 60070536) OR AF-ID(""Facult&eacute; des Sciences de Base"" 60204330) OR AF-ID(""Section de Math&eacute;matiques"" 60070531) OR AF-ID(""Institut de Chimie Mol&eacute;culaire et Biologique Ecole Polytechnique F&eacute;d&eacute;rale de Lausanne"" 60070534) OR AF-ID(""Institut des Sciences et Ing&eacute;nierie Chimiques"" 60070538) OR AF-ID(""Institut Romand de Recherche Num&eacute;rique en Physique des Mat&eacute;riaux"" 60014951) OR AF-ID(""Laboratoire d'Electrochimie Physique et Analytique - EPFL"" 60070529) OR AF-ID(""Laboratory for Processing of Advanced Composites"" 60070532) OR AF-ID(""Laboratory of Mechanical Metallurgy"" 60070535) OR AF-ID(""Max Planck-EPFL Center for Molecular Nanoscience and Technology"" 60122563) OR AF-ID(""Swiss Data Science Center"" 60210160) OR AF-ID(""UNIL-EPFL dhCenter"" 60204331)",OG=(Ecole Polytechnique Federale de Lausanne),https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210140175|i7495430|i4210100659|i4210132519|i4210129591|i4210122261|i5124864,"https://explore.openaire.eu/search/organization?organizationId=openorgs____::421f534ace1a6fea73b1a5cde6ca2716
https://explore.openaire.eu/search/organization?organizationId=openorgs____::e7be3c6c52ace65b98ccddb50da31797
https://explore.openaire.eu/search/organization?organizationId=openorgs____::60dd828d56524f347a181614ff4ba6f6
https://explore.openaire.eu/search/organization?organizationId=openorgs____::4ebc7f38366b6bffa37f70972006ca44
https://explore.openaire.eu/search/organization?organizationId=openorgs____::a9607f7a6966af7cc6fa87bf4ab44952
https://explore.openaire.eu/search/organization?organizationId=openorgs____::0f0744ada95d4305e7b5addb2105973f"
Eidgenössische Technische Hochschule Zürich ETH,ETHZ,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.482286.2&or_facet_research_org=grid.512126.3&or_facet_research_org=grid.514054.1&or_facet_research_org=grid.513285.8&or_facet_research_org=grid.5801.c,"AF-ID(""ETH Z&uuml;rich"" 60025858) OR AF-ID(""Botnar Research Centre for Child Health"" 60194073) OR AF-ID(""Center for Radiopharmaceutical Sciences"" 60251904) OR AF-ID(""Centro Svizzero di Calcolo Scientifico"" 60032721) OR AF-ID(""Citizen Science Center Zurich"" 60251045) OR AF-ID(""Collegium Helveticum"" 60099404) OR AF-ID(""Competence Center for Systems Physiology and Metabolic Diseases"" 60103077) OR AF-ID(""ETH Zurich Institute of Reactor Technology"" 60074272) OR AF-ID(""Functional Genomics Center Zurich"" 60245703) OR AF-ID(""Geologisches Institut"" 60115722) OR AF-ID(""Inspire AG"" 60074317) OR AF-ID(""Institut f&uuml;r Atmosph&auml;re und Klima"" 60099375) OR AF-ID(""Institut f&uuml;r Mechanische Systeme"" 60105443) OR AF-ID(""Institute for Construction and Design Swiss Federal Institute of Technology Zurich"" 60105442) OR AF-ID(""Institute of Biochemistry"" 60027920) OR AF-ID(""Institute of Neuroinformatics"" 60070530) OR AF-ID(""Konjunkturforschungsstelle"" 60103083) OR AF-ID(""Laboratorium f&uuml;r Anorganische Chemie"" 60115723) OR AF-ID(""Max Planck ETH Center for Learning Systems"" 60122565) OR AF-ID(""Neuroscience Center Zurich"" 60244777) OR AF-ID(""Singapore-​ETH Centre"" 60115718) OR AF-ID(""Swiss Data Science Center"" 60210160) OR AF-ID(""Zentrum f&uuml;r Organisations- und Arbeitswissenschaften"" 60239646)",OG=(ETH Zurich),https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210090941|i4210122261|i4210127086|i35440088,"https://explore.openaire.eu/search/organization?organizationId=openorgs____::16dcb9dbf78ba2781312ce6bd3f06bc8
https://explore.openaire.eu/search/organization?organizationId=openorgs____::fb1e14f93f04d43e1a10a9f17d12c669
https://explore.openaire.eu/search/organization?organizationId=openorgs____::0f0744ada95d4305e7b5addb2105973f"
Fachhochschule Graubünden FHGR,FHGR,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.460104.7,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210120439,https://explore.openaire.eu/search/organization?organizationId=openorgs____::bee26c2cc0fbc39557b91e214b7f68d7
Fachhochschule Nordwestschweiz FHNW,FHNW,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.459287.5&or_facet_research_org=grid.410380.e,"AF-ID ( ""Fachhochschule Nordwestschweiz FHNW""   60011274 )",OG=(FHNW University of Applied Sciences & Arts Northwestern Switzerland),https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i2972652528|i2801068065,"https://explore.openaire.eu/search/organization?organizationId=openorgs____::1735942e6655b539a1b62a4c547aa12e
https://explore.openaire.eu/search/organization?organizationId=openorgs____::c15520f4a308c5800f293fb8b419d4a9"
"Haute école pédagogique des cantons de Berne, du Jura et de Neuchâtel HEP-BEJUNE",HEPBEJUNE,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.469449.2,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210101117,https://explore.openaire.eu/search/organization?organizationId=openorgs____::656522af64251a2efa8fe55ca92437f7
Haute école pédagogique du canton de Vaud HEP Vaud,HEPVAUD,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.466224.0,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210106586,https://explore.openaire.eu/search/organization?organizationId=openorgs____::c1bc33096341df2b7207c1af0cc7e6f5
Haute école spécialisée de Suisse occidentale HES-SO,HESSO,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.508733.a&or_facet_research_org=grid.483305.9&or_facet_research_org=grid.483301.d&or_facet_research_org=grid.508734.d&or_facet_research_org=grid.483302.e&or_facet_research_org=grid.5681.a,"AF-ID ( ""University of Applied Sciences Western Switzerland""   60101868 )  OR  AF-ID ( ""Ecole Hôtelière de Lausanne""   60004894 )  OR  AF-ID ( ""The Institute for Applied Research in Economics and Management""   60210163 ) ",OG=(University of Applied Sciences & Arts Western Switzerland),https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210129267|i4210109379|i4210088449|i4210160903|i4210119508|i173439891,"https://explore.openaire.eu/search/organization?organizationId=openorgs____::c9299c596fd1279d15068fdf21401c0d
https://explore.openaire.eu/search/organization?organizationId=openorgs____::f8bcb66359d596ec77d69d56af693ce4
https://explore.openaire.eu/search/organization?organizationId=openorgs____::5dca7501247bb1638a6d4a41a493e3b3
https://explore.openaire.eu/search/organization?organizationId=openorgs____::061b1c3fe4a28f3f1bc097f8b0678a80
https://explore.openaire.eu/search/organization?organizationId=openorgs____::fabc66f620b7e6ec0cf9e0d6881c7fa2"
Interkantonale Hochschule für Heilpädagogik Zürich HfH,HFH,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.466279.8,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210086400,https://explore.openaire.eu/search/organization?organizationId=openorgs____::7d5598463787c99a329b16d1db6c7050
